"PLATFORM_TITLE_ID","REGION","MIXIMUM_VIEWING"
GYwlJGAcNTFiCmwEAAAf-,PL,11
GYfl4YwhpecPCBQEAAAFF,PL,11
GYfmEZgFlGp-aTQEAAAAz,PL,11
GY_ON6AojcLDCLQEAAAJr,PL,11
GY2CC-gvv94GgwgEAAAAR,ES,11
GYpY0HgErY4PDOgEAAABn,PL,11
GYzy3aw6AWMIxPQEAAAAH,US,10
GY3S_dgOXiqXCSAEAAAAF,PL,10
GYvrnJQG7RBEHXQEAAAOh,PL,10
GY-N2bwlso6KZwgEAAAE5,PL,10
GYyr9ZAKIycIEGgEAAAAl,PL,10
GYpYccwF4r4uElgEAAAAD,ES,10
GYywuMgxVmrcxtgEAAAAT,PL,10
GZDlOLg8nX7iWtQEAAAc2,PL,10
GYwlPTwUihgXCwgEAAAhB,PL,10
GYfm1nwkSS8LCNgEAAARI,PL,10
GYwi04wO7ya3CwwEAAAcQ,PL,10
GY-JjjwEeE6KZwgEAAAEs,PL,10
GY9jhswRcFcPDwgEAAA0_,PL,10
GYfmW9AoelT2HMwEAAAHC,PL,10
GYk5S1wfPLZd7sgEAAAAH,PL,10
GYtUdXAJbIEqupQEAAAe2,ES,10
GY8FX4gva0cPDwgEAAAqm,PL,10
GYvrmrQFbGxbDwwEAAAPI,PL,10
GYo2FGg4Yj8J8wwEAAAAC,PL,10
GWguRHAzcL7C5iAEAAAIB,ES,10
GY2D71QcUqbYCjAEAAAAf,PL,10
GYk1tJwuAJFuowgEAAACz,PL,10
GYf3shQ1eAZF2wgEAAAK5,PL,10
GZD03MQVzrMPCwwEAAAAH,PL,10
GYigtjgf2dJxjUAEAAAHO,PL,10
GYmkJ_AfQyI7DAgEAAACV,PL,10
GYx8ADg1RjqSocwEAAAAz,PL,10
GY78W9A1bOMLCwwEAAAsq,PL,10
GYfmKUAu03ZqXXAEAAAAN,PL,10
GY-T1ngVvDJSgigEAAA7m,PL,10
GYSmKqwevF6rDwgEAAAAP,ES,9
GY1vQkQ8hacLCwwEAAAAR,ES,9
GYgORzgG3l6_CwwEAAAAK,CO,9
GY2U7tQc59kthwgEAAAEF,PL,9
GZBGmeQR7y8N_dwEAAARD,PL,9
GY8FYWwzoyZSgigEAAAse,PL,9
GYuekYAC3RMLCwgEAABCq,ES,9
GWguWKQ0XrXSEpAEAAAAF,PL,9
GY78XHAjneYHDGwEAAAAC,PL,9
GYhPolADKlUiCrwEAAALm,PL,9
GYRrlKQKjxsLDwgEAAAAG,ES,9
GY0_UygVF5W4mgAEAAAAH,ES,9
GY00UMwpMk5C_wwEAAAFe,PL,9
GYvrlvAvJU1iCmwEAAAQY,PL,9
GY-zxSQRXnqKZwgEAAAIk,PL,9
GYQFwrwWPz660hQEAAAE3,ES,9
GYDQG_A5dAHapYgEAAAAk,PL,9
GYufwGgU36ETDwwEAAAAF,ES,9
GY1vK-AUVjL-hnAEAAAAY,ES,9
GYo2FJA8Ws8J8wwEAAAAD,PL,9
GVU3UrwrJDYNJjhsJAXvy,US,9
GYgam3gKe-bYbrQEAAAU9,PL,9
GY01GUQZp95SYugEAAAFd,PL,9
GXzasmA59_EvDbQEAAAK2,ES,9
GYGtlFwpn-kOawgEAAAAF,MX,8
GYigtDA2AysN9uAEAAAHJ,PL,8
GYxnN-wDc9BEHXQEAAArJ,PL,8
GYwlMzg7NWBEHXQEAAAcy,PL,8
GXlAVYAvjtTC3wwEAAAvz,ES,8
GYqCiXwDD0LxVCgEAAAFD,ES,8
GZA8vFQpkL0G9tAEAABIm,PL,8
GY36P2wH8pKaHgQEAAAI-,PL,8
GZBzV1QzmuMN_dwEAAAU-,AR,8
GYpYP7QWR-5C4qAEAAAA8,PL,8
GY4oSnAWfGMPCLwEAAAQN,PL,8
GY_ONjguW_AnCZwEAABDO,PL,8
GYgHa4wmDJsIebgEAAAFw,PL,8
GY4Xy2gKrK0G9tAEAAAI9,PL,8
GYkbmmA4v5L7DwgEAAAAP,PL,8
GYuncJQUM-RbDwwEAAAED,PL,8
GY4oSfgPwPZSgigEAAAQr,PL,8
GYf4WdwmHp67CIwEAAACp,PL,8
