"PLATFORM_TITLE_ID","REGION","MIXIMUM_VIEWING"
GXkRjxwjR68PDwwEAABKJ,US,7099
GYJWmoAFMlMJRhwEAAACy,DK,7086
GYRsKbA3gmIjDwgEAAAMH,ES,7065
GYCVhjQCBs6KfnwEAAAAL,CO,7019
GYIJCdgZFR4Y1wwEAAAKc,BR,6962
GXdMTbQrnTaXCPQEAAA9W,PL,6954
GXji44gbd1I7CZgEAAAjR,MX,6944
GYK0UvAc4lL23fQEAAABa,CO,6937
GYC_OsgovbZbDwwEAAAAD,CO,6899
GX3ZDNQA_j8LCSgEAAAXR,CO,6841
GXmAuwAxxXp4_wwEAACh0,SE,6787
GYT4Euwsme8NtwgEAAABI,PL,6700
GX-EdhwKKy5rDwwEAAACK,DK,6643
GXYUhuQ6aq6nCVgEAAAlR,ES,6603
GXdLWQgqPHKXCPQEAAAxk,BR,6549
GYC_OsgovbZbDwwEAAAAD,AR,6495
GXkRjxwjR68PDwwEAABKJ,NO,6482
GXdMTbQrnTaXCPQEAAA9W,DK,6461
GYb0FKQLsGIyPfQEAAAAM,ES,6459
GX3ZDNQA_j8LCSgEAAAXR,BR,6455
GYICZAQTd4qopsQEAAAEi,ES,6419
GVU2cAAPSJoNJjhsJATt6,PL,6391
GXdLWQgqPHKXCPQEAAAxk,CO,6390
GYyofRQHeuJ6fiQEAAAEy,AR,6390
GX5tdIgP5ILrCwgEAAADH,US,6369
GXkRjxwjR68PDwwEAABKJ,DK,6339
GYTFLPgoM2QIqwgEAAAAg,ES,6337
GYTEv9wrztomxJgEAAAFB,FI,6330
GYsYeoAxKH8LCwgEAAAOR,NO,6320
GYC_OsgovbZbDwwEAAAAD,NO,6284
GX-EdhwKKy5rDwwEAAACK,US,6256
GYLAIrgJoPrlNiAEAAADg,US,6214
GVU2b9AHpHo7DwvwIAT4i,SE,6209
GYIBToQrPdotpNQEAAAEa,ES,6194
GYjDZsQoLZYlCwwEAAAAW,AR,6186
GYGIiugVrw8MUuAEAAABi,BR,6169
GXdLWQgqPHKXCPQEAAAxk,US,6169
GVU2bygQ1go7DwvwIAT3r,US,6157
GYCVhjQCBs6KfnwEAAAAL,ES,6105
GXmAuwAxxXp4_wwEAACh0,US,6079
GWukCJAq-nIuHwwEAAAB4,CO,6029
GWukCJAq-nIuHwwEAAAB4,NO,6026
GYGIiugVrw8MUuAEAAABi,AR,5996
GYZLijQsvoJKWWQEAAAB6,ES,5980
GYGhFzgNeM8PDcgEAAAAJ,BR,5969
GYLD3_ArixL1sggEAAAHk,SE,5946
GYyHkNAaRApvDwwEAAAHZ,BR,5925
GYTEv9wrztomxJgEAAAFB,ES,5920
GYCRCkQ3a-F6YbQEAAAAX,CO,5899
GXdLWQgqPHKXCPQEAAAxk,ES,5881
GXKN_xQX5csPDwwEAAABj,AR,5854
GYyofRQHeuJ6fiQEAAAEy,NO,5816
GYTEv9wrztomxJgEAAAFB,PL,5804
GYsYeoAxKH8LCwgEAAAOR,AR,5799
GY0XU4AhXXsPCUAEAAAA3,CO,5701
GYT4Euwsme8NtwgEAAABI,NO,5697
GYmkDVwXQyLTDRgEAAABr,BR,5685
GVU2gkAgT4oNJjhsJAUDk,ES,5681
GXKN_xQX5csPDwwEAAABj,NO,5662
GXbGBEw3y6pGYoAEAAAVc,ES,5642
GYC_OsgovbZbDwwEAAAAD,NL,5609
GXkRjxwjR68PDwwEAABKJ,FI,5578
GYk93MwWuH4BJoAEAAABu,ES,5547
GVU2b9AHpHo7DwvwIAT4i,MX,5495
GYp3hEws6Qa6zwwEAAAAC,ES,5471
GYEkLVAeovrHCwgEAAAAW,US,5456
GYT4Euwsme8NtwgEAAABI,DK,5454
GYGIiugVrw8MUuAEAAABi,NL,5434
GXdMTbQrnTaXCPQEAAA9W,NO,5413
GYUTUfw1XB7KymwEAAAAE,BR,5406
GX9j4sw88eFy8eAEAAACn,BR,5399
GXmAuwAxxXp4_wwEAACh0,AR,5378
GYJWmoAFMlMJRhwEAAACy,ES,5350
GYGTOwAo14Q2xlgEAAAAR,DK,5335
GYGIiugVrw8MUuAEAAABi,PL,5331
GXdLWQgqPHKXCPQEAAAxk,MX,5322
GXl20QAK1sTC3wwEAAB4I,AR,5289
GVU2b9AHpHo7DwvwIAT4i,FI,5287
GYsYeoAxKH8LCwgEAAAOR,US,5228
GYJWmoAFMlMJRhwEAAACy,AR,5199
GYUTUfw1XB7KymwEAAAAE,AR,5197
GXl20QAK1sTC3wwEAAB4I,PL,5196
GX-EdhwKKy5rDwwEAAACK,PL,5172
GYME4cgyGt6EnCgEAAAAv,ES,5171
GXxis0w4EP8N_vAEAAACO,MX,5153
GYT4Euwsme8NtwgEAAABI,FI,5146
GY0XU4AhXXsPCUAEAAAA3,MX,5124
GYSe0BwSrtp5NpgEAAAAk,ES,5100
GXKN_xQX5csPDwwEAAABj,DK,5068
GWukCJAq-nIuHwwEAAAB4,US,5033
GWukCJAq-nIuHwwEAAAB4,BR,5008
GYCVhjQCBs6KfnwEAAAAL,DK,4976
GYsYeoAxKH8LCwgEAAAOR,DK,4965
GXKN_xQX5csPDwwEAAABj,FI,4964
GYbiL3gvqXgqEhgEAAAHG,ES,4947
GYzl87QtQEZfCwwEAAAAC,MX,4945
GYYxBtQFFnmbDBwEAAAAE,SE,4896
GX-EdhwKKy5rDwwEAAACK,NO,4877
GX-EdhwKKy5rDwwEAAACK,FI,4865
GYLD3_ArixL1sggEAAAHk,US,4832
GXKN_xQX5csPDwwEAAABj,PL,4793
GYV3u-gHh-C9FwgEAAACd,US,4775
GYV3u-gHh-C9FwgEAAACd,SE,4761
GYLD3_ArixL1sggEAAAHk,PL,4758
GX24uiQjwE7TDLwEAAAAC,ES,4712
GYsYeoAxKH8LCwgEAAAOR,FI,4706
GXyL-rA27qcJ6pQEAAADP,NL,4703
GVU2d_A0NVFFvjSoJAT65,ES,4689
GYAcfKQrV88IyQgEAAAHt,ES,4688
GXozhGwOz77DCYwEAABBA,MX,4674
GYICZAQTd4qopsQEAAAEi,BR,4660
GXd24ggvmxLPDfgEAAACM,FI,4657
GYK0xWAMIRXXCMAEAAAB4,MX,4630
GX3ZDNQA_j8LCSgEAAAXR,MX,4622
GYGTOwAo14Q2xlgEAAAAR,BR,4583
GXozhGwOz77DCYwEAABBA,US,4578
GYLD3_ArixL1sggEAAAHk,NO,4571
GXd24ggvmxLPDfgEAAACM,SE,4561
GVU2cMgPp_VFvjSoJATyY,US,4556
GYK0UvAc4lL23fQEAAABa,BR,4537
GYJWmoAFMlMJRhwEAAACy,FI,4520
GYyofRQHeuJ6fiQEAAAEy,FI,4499
GXdMTbQrnTaXCPQEAAA9W,AR,4493
GXbIIxQb4npGYoAEAAAch,MX,4456
GYGhFzgNeM8PDcgEAAAAJ,CO,4449
GX5tdIgP5ILrCwgEAAADH,SE,4447
GXbIIxQb4npGYoAEAAAch,CO,4422
GX3ZDNQA_j8LCSgEAAAXR,US,4376
GYV3u-gHh-C9FwgEAAACd,NO,4368
GYLD3_ArixL1sggEAAAHk,BR,4358
GWukCJAq-nIuHwwEAAAB4,PL,4351
GXkyElw3j2J4_wwEAAAQa,FI,4299
GVU2b9AHpHo7DwvwIAT4i,NO,4259
GYGhpSwCFYsISvQEAAAAH,SE,4256
GYWDFCQqUi8PCNgEAAAAZ,ES,4247
GX5MHsQzwwIuLwgEAAACp,US,4247
GYTEv9wrztomxJgEAAAFB,NO,4247
GXdMTbQrnTaXCPQEAAA9W,FI,4212
GXajjjg560MMcQQEAAAxU,MX,4193
GWukCJAq-nIuHwwEAAAB4,AR,4178
GYbCHWwbQpcPCwgEAAAJd,MX,4167
GYsgmoQasUUKHagEAAAAD,MX,4166
GYIJCdgZFR4Y1wwEAAAKc,SE,4163
GYSVSQwET8cLCwwEAAACP,SE,4143
GYGhpSwCFYsISvQEAAAAH,MX,4140
GXkyElw3j2J4_wwEAAAQa,SE,4138
GXozhGwOz77DCYwEAABBA,CO,4127
GYJWmoAFMlMJRhwEAAACy,NO,4105
GVU2b9AHpHo7DwvwIAT4i,AR,4081
GVU2cMgPp_VFvjSoJATyY,ES,4066
GYwz1ywqNmHcpuQEAAAfu,ES,4061
GYGIiugVrw8MUuAEAAABi,FI,4046
GYV3u-gHh-C9FwgEAAACd,FI,4037
GYCVhjQCBs6KfnwEAAAAL,PL,4024
GXmAuwAxxXp4_wwEAACh0,FI,4012
GYgfxrwICFqWrvgEAAAAU,CO,4007
GXtqz7QCD4MPCwgEAAAan,ES,4005
GXxis0w4EP8N_vAEAAACO,US,4000
GYbCHWwbQpcPCwgEAAAJd,AR,3995
GYyofRQHeuJ6fiQEAAAEy,DK,3991
GYGTOwAo14Q2xlgEAAAAR,PL,3972
GYXBzKw3n5aJmOwEAAAAE,BR,3950
GYbCHWwbQpcPCwgEAAAJd,CO,3932
GXbIIxQb4npGYoAEAAAch,ES,3922
GYRsKbA3gmIjDwgEAAAMH,PL,3915
GYGhFzgNeM8PDcgEAAAAJ,MX,3878
GYCwQ1Qw2FUZWtwEAAAAf,SE,3864
GX8W5GwzKncLCNwEAAAYf,MX,3859
GX8VcRQca5sLDbAEAAAD-,MX,3850
GYYxBtQFFnmbDBwEAAAAE,MX,3834
GVU2b9AHpHo7DwvwIAT4i,CO,3833
GYGhpSwCFYsISvQEAAAAH,BR,3827
GXaUfiAsLdZ3DGQEAAACj,ES,3809
GYsA-_gaARC8TnQEAAAAV,BR,3804
GYCiC1Q8picLCfAEAAAAC,ES,3795
GVU2b9AHpHo7DwvwIAT4i,PL,3791
GX5MHsQzwwIuLwgEAAACp,MX,3788
GYZWoOQ6F9cLDCAEAAABP,ES,3772
GYfIOGARe3ZDCwgEAAACZ,ES,3766
GYb0FKQLsGIyPfQEAAAAM,MX,3763
GVU2WugfAylFvjSoJATvA,ES,3761
GYRsKbA3gmIjDwgEAAAMH,SE,3756
GYCVhjQCBs6KfnwEAAAAL,NO,3753
GYCVhjQCBs6KfnwEAAAAL,FI,3734
GYL51wA5ofaSURgEAAAAC,ES,3723
GX5nwgQDNJZ6aoQEAAAHJ,US,3713
GWmKDEwGrA8JInwEAAAL6,ES,3705
GYICZAQTd4qopsQEAAAEi,CO,3684
GYV3u-gHh-C9FwgEAAACd,DK,3684
GX5tdIgP5ILrCwgEAAADH,DK,3642
GXxis0w4EP8N_vAEAAACO,CO,3629
GXxis0w4EP8N_vAEAAACO,BR,3627
GXYUhuQ6aq6nCVgEAAAlR,BR,3625
GVU2b9AHpHo7DwvwIAT4i,BR,3619
GYICZAQTd4qopsQEAAAEi,MX,3591
GYXhKzAbBH7GzIwEAAAJG,PL,3589
GYThiwghpK58QVwEAAAPC,ES,3587
GVU2gkAgT4oNJjhsJAUDk,SE,3587
GWukCJAq-nIuHwwEAAAB4,DK,3577
GXbIIxQb4npGYoAEAAAch,BR,3571
GVU2cAAPSJoNJjhsJATt6,NL,3558
GYb0FKQLsGIyPfQEAAAAM,BR,3546
GYCwQ1Qw2FUZWtwEAAAAf,MX,3541
GX9j4sw88eFy8eAEAAACn,PL,3539
GWukCJAq-nIuHwwEAAAB4,FI,3527
GXnAu5AZC5MNVoAEAABvO,US,3522
GXr2qigEnPpGXWQEAAAJu,ES,3514
GWGwm2gpIf6mywwEAAACF,ES,3505
GVU2b9AHpHo7DwvwIAT4i,NL,3494
GX5tdIgP5ILrCwgEAAADH,FI,3483
GX5tdIgP5ILrCwgEAAADH,NL,3481
GYsYeoAxKH8LCwgEAAAOR,NL,3481
GX9j4sw88eFy8eAEAAACn,CO,3473
GYIJCdgZFR4Y1wwEAAAKc,ES,3473
GXk8fHwihoY7CZgEAACkr,MX,3456
GYCVhjQCBs6KfnwEAAAAL,AR,3414
GYGT8zAx-rsLDcwEAAAAs,AR,3395
GYYxBtQFFnmbDBwEAAAAE,NO,3380
GYLD3_ArixL1sggEAAAHk,MX,3367
GY2N_XAeF-cPCwwEAAAC_,ES,3365
GYXhKzAbBH7GzIwEAAAJG,FI,3359
GYfl7pQ2HhcPCBQEAAAFr,PL,3353
GYRsKbA3gmIjDwgEAAAMH,FI,3349
GYGIiugVrw8MUuAEAAABi,SE,3349
GXdLWQgqPHKXCPQEAAAxk,SE,3346
GYGhpSwCFYsISvQEAAAAH,CO,3344
GXebCtwq1msPCwwEAAD8D,BR,3340
GYIJCdgZFR4Y1wwEAAAKc,NO,3316
GYTEv9wrztomxJgEAAAFB,DK,3293
GYWpi0QZL0ZsnnQEAAABb,ES,3292
GX-EdhwKKy5rDwwEAAACK,AR,3288
GX9j4sw88eFy8eAEAAACn,MX,3264
GYLD3_ArixL1sggEAAAHk,CO,3253
GYK0xWAMIRXXCMAEAAAB4,CO,3249
GVU2cMgPp_VFvjSoJATyY,SE,3247
GX0_18wy2RrCttQEAAARx,ES,3245
GYK0xWAMIRXXCMAEAAAB4,BR,3242
GYGhpSwCFYsISvQEAAAAH,PL,3224
GYGhFzgNeM8PDcgEAAAAJ,NL,3222
GY0XU4AhXXsPCUAEAAAA3,BR,3216
GVU2g4AhF347DwvwIAURT,ES,3210
GYLD3_ArixL1sggEAAAHk,FI,3207
GXmmNFAzEJyLCHAEAACDB,BR,3207
GX-EdhwKKy5rDwwEAAACK,BR,3205
GYbCHWwbQpcPCwgEAAAJd,ES,3199
GXYUhuQ6aq6nCVgEAAAlR,CO,3195
GYtbyhgvcPXmangEAAAsR,BR,3193
GYukKWwD5xliCmwEAAABB,ES,3184
GXxis0w4EP8N_vAEAAACO,ES,3176
GYGhpSwCFYsISvQEAAAAH,NO,3175
GYGTOwAo14Q2xlgEAAAAR,NO,3173
GYIBToQrPdotpNQEAAAEa,US,3153
GYYxBtQFFnmbDBwEAAAAE,DK,3136
GXr2qigEnPpGXWQEAAAJu,CO,3130
GYilRbQBlfrurwgEAAAH0,ES,3129
GYIJCdgZFR4Y1wwEAAAKc,PL,3127
GVU2g_AGQXI7DwvwIAUSp,SE,3112
GX8auJwgvI5c0wwEAAAAk,MX,3106
GXYUhuQ6aq6nCVgEAAAlR,MX,3096
GYsgmoQasUUKHagEAAAAD,CO,3086
GXkRjxwjR68PDwwEAABKJ,NL,3077
GYCRCkQ3a-F6YbQEAAAAX,AR,3063
GYmkDVwXQyLTDRgEAAABr,AR,3062
GYYxBtQFFnmbDBwEAAAAE,FI,3061
GYR5NgwYFtIG0wgEAAAA0,SE,3059
GXji44gbd1I7CZgEAAAjR,CO,3005
GXm_gJg34lp4_wwEAAEZI,MX,3001
GXouLWwp8MsPDIgEAAAqT,US,2989
GYh9YiQJDHrITrgEAAAAC,PL,2979
GYGhpSwCFYsISvQEAAAAH,DK,2974
GWmKDEwGrA8JInwEAAAL6,US,2969
GYGTOwAo14Q2xlgEAAAAR,CO,2961
GYYxBtQFFnmbDBwEAAAAE,CO,2961
GXr2qigEnPpGXWQEAAAJu,MX,2960
GX5MHsQzwwIuLwgEAAACp,CO,2950
GYGYm2gD5HnqQqwEAAABB,ES,2950
GYGT8zAx-rsLDcwEAAAAs,US,2940
GYJ2n2AJJG8JnLQEAAAHr,PL,2916
GYLD3_ArixL1sggEAAAHk,DK,2908
GXnAu5AZC5MNVoAEAABvO,ES,2908
GXrGR8gCbgSZGXgEAAABM,ES,2898
GYSYN2AYfO8LCwwEAAAId,SE,2890
GYSVSQwET8cLCwwEAAACP,FI,2889
GYbcYPATTKcIZsAEAAAIA,MX,2873
GXmAuwAxxXp4_wwEAACh0,NO,2870
GXJvkMAU0JIG6gAEAAAIo,ES,2861
GVU2bygQ1go7DwvwIAT3r,ES,2842
GX5MHsQzwwIuLwgEAAACp,BR,2840
GVU2gkAgT4oNJjhsJAUDk,US,2825
GYAcfKQrV88IyQgEAAAHt,SE,2817
GYA9XHQopEqmlqwEAAAAC,BR,2816
GYCwQ1Qw2FUZWtwEAAAAf,BR,2813
GVU2b9AHpHo7DwvwIAT4i,DK,2808
GYGTOwAo14Q2xlgEAAAAR,MX,2807
GVU2cJww-hI7DwvwIAT5u,ES,2806
GYGhpSwCFYsISvQEAAAAH,FI,2796
GXm_gJg34lp4_wwEAAEZI,CO,2792
GVU2g_AGQXI7DwvwIAUSp,US,2792
GV7xdwg1cosPDWwEAAABT,US,2791
GYamAdgZxVgq0LAEAAAAc,BR,2781
GXYUhuQ6aq6nCVgEAAAlR,PL,2781
GXbGBEw3y6pGYoAEAAAVc,SE,2776
GX-Tu4ge5qAexgwEAAABd,CO,2776
GXajjjg560MMcQQEAAAxU,BR,2765
GYJagJwg1csJKugEAAAAE,ES,2764
GYsgmoQasUUKHagEAAAAD,BR,2728
GXdcPuwAQoMPCwwEAACou,ES,2722
GXji44gbd1I7CZgEAAAjR,BR,2720
GYSVSQwET8cLCwwEAAACP,DK,2719
GYAcfKQrV88IyQgEAAAHt,PL,2708
GYGYm2gD5HnqQqwEAAABB,PL,2706
GVU2gkAgT4oNJjhsJAUDk,FI,2705
GVU2wKADG81FvjSoJAVPU,ES,2691
GXji44gbd1I7CZgEAAAjR,ES,2677
GYGTOwAo14Q2xlgEAAAAR,FI,2673
GYXBzKw3n5aJmOwEAAAAE,US,2668
GXozhGwOz77DCYwEAABBA,BR,2665
GYYxBtQFFnmbDBwEAAAAE,US,2658
GXcnTGwGNYSRMwgEAAAGK,US,2658
GYXBzKw3n5aJmOwEAAAAE,PL,2639
